detected_arch_length,simulated_arch_length,arch_length_discrepancy,label,num_incisors,num_canines,num_premolars,num_molars,avg_confidence_incisor,avg_confidence_canine,avg_confidence_premolar,avg_confidence_molar,detected_arch_length_outliers_flg
2000.75346,1957.859208,42.89425176,pro,4,2,4,4,0.8985834569,0.8983356059,0.9020637423,0.9071505517,False
2151.215229,2050.56945,100.6457782,basic,4,2,4,4,0.8897357434,0.8986306489,0.8925001025,0.9008459747,False
2035.142873,1877.800419,157.3424536,pro,4,2,4,5,0.8967834115,0.8939386904,0.8962808996,0.9073865652,False
2211.36722,2147.266974,64.10024609,basic,4,2,4,6,0.8891336769,0.8980125785,0.8960629553,0.8964221378,False
1972.39197,1877.575786,94.81618333,basic,4,2,4,4,0.8996308148,0.9022205472,0.892436251,0.9028550684,False
2019.986045,1767.86157,252.1244748,pro,4,2,4,6,0.8889388889,0.9026513696,0.9011499733,0.9163668156,False
2154.421796,2052.395088,102.0267076,basic,4,2,4,6,0.8981339335,0.9027156234,0.8967242539,0.9112115105,False
2212.606999,2108.815943,103.7910556,basic,4,2,4,6,0.8928984106,0.8972337246,0.8984802961,0.9109192888,False
2117.601105,2060.836902,56.76420286,pro,4,2,4,6,0.894463107,0.8967887461,0.8987149149,0.9163432519,False
1840.902434,1772.890221,68.01221234,basic,4,2,4,4,0.8917917162,0.8906060159,0.9025510401,0.9196311533,False
2164.029185,2023.620651,140.4085345,basic,4,2,4,5,0.8942023814,0.91336447,0.8969852179,0.9118703365,False
2021.187908,1986.495415,34.69249333,basic,4,2,4,4,0.8996794224,0.8983432651,0.8945161253,0.8988336176,False
1942.915003,1880.55006,62.36494338,basic,4,2,4,4,0.8920784295,0.8890276849,0.910307765,0.9159116,False
2054.933469,1925.017997,129.9154724,basic,4,2,4,4,0.8981526941,0.8841046989,0.9020116776,0.9085154831,False
